Year,Location_ID,Indicator_ID,Industry_ID,Authority,Value,Scalar_ID,UOM_ID
2012,CN,DP,CULT,Licensed source,12,6,81
2012,CN,DP,CULT,Unlicensed source,4614,6,81
2012,CN,DP,RTL,Licensed source,0,6,81
2012,CN,DP,RTL,Unlicensed source,1660,6,81
2012,CN,DMP,CULT,Licensed source,2,6,81
2012,CN,DMP,CULT,Unlicensed source,4543,6,81
2012,CN,DMP,RTL,Licensed source,0,6,81
2012,CN,DMP,RTL,Unlicensed source,1660,6,81
2012,CN,DOP,CULT,Licensed source,10,6,81
2012,CN,DOP,CULT,Unlicensed source,71,6,81
2012,CN,DOP,RTL,Licensed source,0,6,81
2012,CN,DOP,RTL,Unlicensed source,0,6,81
2012,CN,INTCN,CULT,Licensed source,10,6,81
2012,CN,INTCN,CULT,Unlicensed source,1547,6,81
2012,CN,INTCN,RTL,Licensed source,0,6,81
2012,CN,INTCN,RTL,Unlicensed source,332,6,81
2012,CN,GV,CULT,Licensed source,2,6,81
2012,CN,GV,CULT,Unlicensed source,3067,6,81
2012,CN,GV,RTL,Licensed source,0,6,81
2012,CN,GV,RTL,Unlicensed source,1328,6,81
2012,AT,DP,CULT,Licensed source,1,6,81
2012,AT,DP,CULT,Unlicensed source,164,6,81
2012,AT,DP,RTL,Licensed source,0,6,81
2012,AT,DP,RTL,Unlicensed source,100,6,81
2012,AT,DMP,CULT,Licensed source,0,6,81
2012,AT,DMP,CULT,Unlicensed source,159,6,81
2012,AT,DMP,RTL,Licensed source,0,6,81
2012,AT,DMP,RTL,Unlicensed source,100,6,81
2012,AT,DOP,CULT,Licensed source,1,6,81
2012,AT,DOP,CULT,Unlicensed source,5,6,81
2012,AT,DOP,RTL,Licensed source,0,6,81
2012,AT,DOP,RTL,Unlicensed source,0,6,81
2012,AT,INTCN,CULT,Licensed source,1,6,81
2012,AT,INTCN,CULT,Unlicensed source,59,6,81
2012,AT,INTCN,RTL,Licensed source,0,6,81
2012,AT,INTCN,RTL,Unlicensed source,20,6,81
2012,AT,GV,CULT,Licensed source,0,6,81
2012,AT,GV,CULT,Unlicensed source,105,6,81
2012,AT,GV,RTL,Licensed source,0,6,81
2012,AT,GV,RTL,Unlicensed source,80,6,81
2012,NL,DP,CULT,Licensed source,0,6,81
2012,NL,DP,CULT,Unlicensed source,14,6,81
2012,NL,DP,RTL,Licensed source,0,6,81
2012,NL,DP,RTL,Unlicensed source,20,6,81
2012,NL,DMP,CULT,Licensed source,0,6,81
2012,NL,DMP,CULT,Unlicensed source,13,6,81
2012,NL,DMP,RTL,Licensed source,0,6,81
2012,NL,DMP,RTL,Unlicensed source,20,6,81
2012,NL,DOP,CULT,Licensed source,0,6,81
2012,NL,DOP,CULT,Unlicensed source,0,6,81
2012,NL,DOP,RTL,Licensed source,0,6,81
2012,NL,DOP,RTL,Unlicensed source,0,6,81
2012,NL,INTCN,CULT,Licensed source,0,6,81
2012,NL,INTCN,CULT,Unlicensed source,5,6,81
2012,NL,INTCN,RTL,Licensed source,0,6,81
2012,NL,INTCN,RTL,Unlicensed source,4,6,81
2012,NL,GV,CULT,Licensed source,0,6,81
2012,NL,GV,CULT,Unlicensed source,8,6,81
2012,NL,GV,RTL,Licensed source,0,6,81
2012,NL,GV,RTL,Unlicensed source,16,6,81
2012,PE,DP,CULT,Licensed source,0,6,81
2012,PE,DP,CULT,Unlicensed source,7,6,81
2012,PE,DP,RTL,Licensed source,0,6,81
2012,PE,DP,RTL,Unlicensed source,5,6,81
2012,PE,DMP,CULT,Licensed source,0,6,81
2012,PE,DMP,CULT,Unlicensed source,7,6,81
2012,PE,DMP,RTL,Licensed source,0,6,81
2012,PE,DMP,RTL,Unlicensed source,5,6,81
2012,PE,DOP,CULT,Licensed source,0,6,81
2012,PE,DOP,CULT,Unlicensed source,0,6,81
2012,PE,DOP,RTL,Licensed source,0,6,81
2012,PE,DOP,RTL,Unlicensed source,0,6,81
2012,PE,INTCN,CULT,Licensed source,0,6,81
2012,PE,INTCN,CULT,Unlicensed source,2,6,81
2012,PE,INTCN,RTL,Licensed source,0,6,81
2012,PE,INTCN,RTL,Unlicensed source,1,6,81
2012,PE,GV,CULT,Licensed source,0,6,81
2012,PE,GV,CULT,Unlicensed source,5,6,81
2012,PE,GV,RTL,Licensed source,0,6,81
2012,PE,GV,RTL,Unlicensed source,4,6,81
2012,NS,DP,CULT,Licensed source,0,6,81
2012,NS,DP,CULT,Unlicensed source,72,6,81
2012,NS,DP,RTL,Licensed source,0,6,81
2012,NS,DP,RTL,Unlicensed source,49,6,81
2012,NS,DMP,CULT,Licensed source,0,6,81
2012,NS,DMP,CULT,Unlicensed source,70,6,81
2012,NS,DMP,RTL,Licensed source,0,6,81
2012,NS,DMP,RTL,Unlicensed source,49,6,81
2012,NS,DOP,CULT,Licensed source,0,6,81
2012,NS,DOP,CULT,Unlicensed source,2,6,81
2012,NS,DOP,RTL,Licensed source,0,6,81
2012,NS,DOP,RTL,Unlicensed source,0,6,81
2012,NS,INTCN,CULT,Licensed source,0,6,81
2012,NS,INTCN,CULT,Unlicensed source,28,6,81
2012,NS,INTCN,RTL,Licensed source,0,6,81
2012,NS,INTCN,RTL,Unlicensed source,10,6,81
2012,NS,GV,CULT,Licensed source,0,6,81
2012,NS,GV,CULT,Unlicensed source,45,6,81
2012,NS,GV,RTL,Licensed source,0,6,81
2012,NS,GV,RTL,Unlicensed source,39,6,81
2012,NB,DP,CULT,Licensed source,0,6,81
2012,NB,DP,CULT,Unlicensed source,71,6,81
2012,NB,DP,RTL,Licensed source,0,6,81
2012,NB,DP,RTL,Unlicensed source,26,6,81
2012,NB,DMP,CULT,Licensed source,0,6,81
2012,NB,DMP,CULT,Unlicensed source,68,6,81
2012,NB,DMP,RTL,Licensed source,0,6,81
2012,NB,DMP,RTL,Unlicensed source,26,6,81
2012,NB,DOP,CULT,Licensed source,0,6,81
2012,NB,DOP,CULT,Unlicensed source,2,6,81
2012,NB,DOP,RTL,Licensed source,0,6,81
2012,NB,DOP,RTL,Unlicensed source,0,6,81
