Year,Location_ID,Company_ID,Usage_ID,Value,Scalar_ID,UOM_ID
1986,CN,ALL,D,2168059,3,203
1986,CN,ALL,DF,1826526,3,203
1986,CN,ALL,DP,200549,3,203
1986,CN,ALL,DYS,114676,3,203
1986,CN,ALL,DWT,26308,3,203
1986,CN,ALL,COST,651231694,0,81
1986,CN,CNNL,D,1029150,3,203
1986,CN,CNNL,DF,907298,3,203
1986,CN,CNNL,DP,54604,3,203
1986,CN,CNNL,DYS,57998,3,203
1986,CN,CNNL,DWT,9249,3,203
1986,CN,CNNL,COST,318818032,0,81
1986,CN,CNPC,D,835499,3,203
1986,CN,CNPC,DF,777698,3,203
1986,CN,CNPC,DP,0,3,203
1986,CN,CNPC,DYS,45370,3,203
1986,CN,CNPC,DWT,12431,3,203
1986,CN,CNPC,COST,243389009,0,81
1986,CN,VIAR,D,137747,3,203
1986,CN,VIAR,DF,0,3,203
1986,CN,VIAR,DP,137747,3,203
1986,CN,VIAR,DYS,0,3,203
1986,CN,VIAR,DWT,0,3,203
1986,CN,VIAR,COST,39788800,0,81
1986,CN,RGRL,D,165663,3,203
1986,CN,RGRL,DF,141530,3,203
1986,CN,RGRL,DP,8198,3,203
1986,CN,RGRL,DYS,11308,3,203
1986,CN,RGRL,DWT,4628,3,203
1986,CN,RGRL,COST,49235853,0,81
1987,CN,ALL,D,2191002,3,203
1987,CN,ALL,DF,1895467,3,203
1987,CN,ALL,DP,153233,3,203
1987,CN,ALL,DYS,118622,3,203
1987,CN,ALL,DWT,23680,3,203
1987,CN,ALL,COST,656830418,0,81
1987,CN,CNNL,D,995041,3,203
1987,CN,CNNL,DF,924638,3,203
1987,CN,CNNL,DP,0,3,203
1987,CN,CNNL,DYS,60290,3,203
1987,CN,CNNL,DWT,10113,3,203
1987,CN,CNNL,COST,320653715,0,81
1987,CN,CNPC,D,884793,3,203
1987,CN,CNPC,DF,828670,3,203
1987,CN,CNPC,DP,0,3,203
1987,CN,CNPC,DYS,47461,3,203
1987,CN,CNPC,DWT,8662,3,203
1987,CN,CNPC,COST,256105141,0,81
1987,CN,VIAR,D,145475,3,203
1987,CN,VIAR,DF,0,3,203
1987,CN,VIAR,DP,145475,3,203
1987,CN,VIAR,DYS,0,3,203
1987,CN,VIAR,DWT,0,3,203
1987,CN,VIAR,COST,33299000,0,81
1987,CN,RGRL,D,165693,3,203
1987,CN,RGRL,DF,142159,3,203
1987,CN,RGRL,DP,7758,3,203
1987,CN,RGRL,DYS,10871,3,203
1987,CN,RGRL,DWT,4904,3,203
1987,CN,RGRL,COST,46772562,0,81
1988,CN,ALL,D,2220346,3,203
1988,CN,ALL,DF,1954146,3,203
1988,CN,ALL,DP,125356,3,203
1988,CN,ALL,DYS,118128,3,203
1988,CN,ALL,DWT,22716,3,203
1988,CN,ALL,COST,656075749,0,81
1988,CN,CNNL,D,1035511,3,203
1988,CN,CNNL,DF,966816,3,203
1988,CN,CNNL,DP,0,3,203
1988,CN,CNNL,DYS,58909,3,203
1988,CN,CNNL,DWT,9787,3,203
1988,CN,CNNL,COST,320435509,0,81
1988,CN,CNPC,D,885311,3,203
1988,CN,CNPC,DF,829976,3,203
1988,CN,CNPC,DP,0,3,203
1988,CN,CNPC,DYS,47265,3,203
1988,CN,CNPC,DWT,8070,3,203
1988,CN,CNPC,COST,249715146,0,81
1988,CN,VIAR,D,117560,3,203
1988,CN,VIAR,DF,0,3,203
1988,CN,VIAR,DP,117560,3,203
1988,CN,VIAR,DYS,0,3,203
1988,CN,VIAR,DWT,0,3,203
1988,CN,VIAR,COST,36446000,0,81
1988,CN,RGRL,D,181964,3,203
1988,CN,RGRL,DF,157354,3,203
1988,CN,RGRL,DP,7796,3,203
1988,CN,RGRL,DYS,11955,3,203
1988,CN,RGRL,DWT,4859,3,203
1988,CN,RGRL,COST,49479094,0,81
1989,CN,ALL,D,2024349,3,203
1989,CN,ALL,DF,1770873,3,203
1989,CN,ALL,DP,126605,3,203
1989,CN,ALL,DYS,109556,3,203
1989,CN,ALL,DWT,17315,3,203
1989,CN,ALL,COST,613680725,0,81
1989,CN,CNNL,D,906336,3,203
1989,CN,CNNL,DF,845541,3,203
1989,CN,CNNL,DP,0,3,203
1989,CN,CNNL,DYS,52956,3,203
1989,CN,CNNL,DWT,7840,3,203
1989,CN,CNNL,COST,301815033,0,81
1989,CN,CNPC,D,817799,3,203
1989,CN,CNPC,DF,769307,3,203
1989,CN,CNPC,DP,0,3,203
1989,CN,CNPC,DYS,43515,3,203
1989,CN,CNPC,DWT,4977,3,203
1989,CN,CNPC,COST,229441906,0,81
1989,CN,VIAR,D,116995,3,203
1989,CN,VIAR,DF,0,3,203
1989,CN,VIAR,DP,116995,3,203
1989,CN,VIAR,DYS,0,3,203
1989,CN,VIAR,DWT,0,3,203
1989,CN,VIAR,COST,30405748,0,81
1989,CN,RGRL,D,183219,3,203
1989,CN,RGRL,DF,156025,3,203
1989,CN,RGRL,DP,9610,3,203
1989,CN,RGRL,DYS,13086,3,203
1989,CN,RGRL,DWT,4498,3,203
1989,CN,RGRL,COST,52018038,0,81
1990,CN,ALL,D,1913814,3,203
1990,CN,ALL,DF,1709760,3,203
1990,CN,ALL,DP,74878,3,203
1990,CN,ALL,DYS,116117,3,203
1990,CN,ALL,DWT,13058,3,203
1990,CN,ALL,COST,651420485,0,81
1990,CN,CNNL,D,879142,3,203
1990,CN,CNNL,DF,814586,3,203
1990,CN,CNNL,DP,0,3,203
1990,CN,CNNL,DYS,58420,3,203
1990,CN,CNNL,DWT,6136,3,203
1990,CN,CNNL,COST,319320848,0,81
1990,CN,CNPC,D,814917,3,203
1990,CN,CNPC,DF,767230,3,203
1990,CN,CNPC,DP,0,3,203
1990,CN,CNPC,DYS,44565,3,203
1990,CN,CNPC,DWT,3122,3,203
1990,CN,CNPC,COST,259809657,0,81
1990,CN,VIAR,D,68857,3,203
1990,CN,VIAR,DF,0,3,203
1990,CN,VIAR,DP,68110,3,203
1990,CN,VIAR,DYS,748,3,203
1990,CN,VIAR,DWT,0,3,203
1990,CN,VIAR,COST,23942534,0,81
1990,CN,RGRL,D,150898,3,203
1990,CN,RGRL,DF,127944,3,203
1990,CN,RGRL,DP,6769,3,203
1990,CN,RGRL,DYS,12384,3,203
1990,CN,RGRL,DWT,3801,3,203
1990,CN,RGRL,COST,48347446,0,81
1991,CN,ALL,D,1972528,3,203
1991,CN,ALL,DF,1774337,3,203
1991,CN,ALL,DP,70096,3,203
1991,CN,ALL,DYS,116916,3,203
1991,CN,ALL,DWT,11179,3,203
1991,CN,ALL,COST,641975222,0,81
1991,CN,CNNL,D,911080,3,203
1991,CN,CNNL,DF,849186,3,203
1991,CN,CNNL,DP,0,3,203
1991,CN,CNNL,DYS,58616,3,203
1991,CN,CNNL,DWT,3277,3,203
1991,CN,CNNL,COST,324432341,0,81
1991,CN,CNPC,D,845596,3,203
1991,CN,CNPC,DF,794465,3,203
1991,CN,CNPC,DP,0,3,203
1991,CN,CNPC,DYS,46460,3,203
1991,CN,CNPC,DWT,4671,3,203
1991,CN,CNPC,COST,252644218,0,81
1991,CN,VIAR,D,63955,3,203
1991,CN,VIAR,DF,0,3,203
1991,CN,VIAR,DP,63446,3,203
1991,CN,VIAR,DYS,509,3,203
1991,CN,VIAR,DWT,0,3,203
1991,CN,VIAR,COST,19044806,0,81
1991,CN,RGRL,D,151898,3,203
1991,CN,RGRL,DF,130685,3,203
1991,CN,RGRL,DP,6650,3,203
1991,CN,RGRL,DYS,11331,3,203
1991,CN,RGRL,DWT,3231,3,203
1991,CN,RGRL,COST,45853857,0,81
1992,CN,ALL,D,1894237,3,203
1992,CN,ALL,DF,1704686,3,203
1992,CN,ALL,DP,61535,3,203
1992,CN,ALL,DYS,116061,3,203
