REF_DATE,GEO,DGUID,Indicator,Industry,Authority,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2012,Canada,2016A000011124,Domestic production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808807,1.1.1.1.0.0.0.0.0.0,12,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Domestic production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808808,1.1.1.2.0.0.0.0.0.0,4614,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Domestic production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808843,1.1.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Domestic production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808844,1.1.2.2.0.0.0.0.0.0,1660,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Domestic market production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808879,1.2.1.1.0.0.0.0.0.0,2,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Domestic market production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808880,1.2.1.2.0.0.0.0.0.0,4543,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Domestic market production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808915,1.2.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Domestic market production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808916,1.2.2.2.0.0.0.0.0.0,1660,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Domestic own-use production,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001808951,1.3.1.1.0.0.0.0.0.0,10,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Domestic own-use production,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001808952,1.3.1.2.0.0.0.0.0.0,71,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Domestic own-use production,Cannabis retail stores,Licensed source,Dollars,81,millions,6,v1001808987,1.3.2.1.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Domestic own-use production,Cannabis retail stores,Unlicensed source,Dollars,81,millions,6,v1001808988,1.3.2.2.0.0.0.0.0.0,0,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Intermediate consumption,Cannabis cultivation industry,Licensed source,Dollars,81,millions,6,v1001809023,1.4.1.1.0.0.0.0.0.0,10,NULL,NULL,NULL,0
2012,Canada,2016A000011124,Intermediate consumption,Cannabis cultivation industry,Unlicensed source,Dollars,81,millions,6,v1001809024,1.4.1.2.0.0.0.0.0.0,1547,NULL,NULL,NULL,0
