REF_DATE,GEO,DGUID,Indicator,Type of use,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
1961,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1961,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,190
1961,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1961,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,83
1961,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1961,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,81
1961,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1961,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,2
1961,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1961,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,61
1961,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1961,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,46
1961,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1961,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,190
1961,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1961,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,189
1961,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1961,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,1
1961,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1961,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1961,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1961,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,94
1962,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1962,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,217
1962,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1962,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,95
1962,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1962,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,93
1962,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1962,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,2
1962,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1962,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,69
1962,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1962,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,53
1962,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1962,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,217
1962,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1962,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,216
1962,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1962,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,1
1962,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1962,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1962,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1962,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,107
1963,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1963,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,255
1963,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1963,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,111
1963,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1963,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,109
1963,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1963,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,2
1963,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1963,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,82
1963,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1963,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,62
1963,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1963,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,255
1963,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1963,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,253
1963,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1963,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,2
1963,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1963,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1963,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1963,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,125
1964,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1964,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,305
1964,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1964,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,133
1964,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1964,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,130
1964,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1964,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,3
1964,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1964,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,97
1964,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1964,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,74
1964,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1964,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,305
1964,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1964,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,303
1964,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1964,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,2
1964,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1964,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1964,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1964,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,150
1965,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1965,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,372
1965,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1965,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,163
1965,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1965,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,159
1965,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
1965,Canada,2016A000011124,Domestic own-use production,Non-medical use,Dollars,81,millions,6,3
1965,Canada,2016A000011124,Illegal purchases from abroad,Medical use,Dollars,81,millions,6,0
1965,Canada,2016A000011124,Illegal purchases from abroad,Non-medical use,Dollars,81,millions,6,119
1965,Canada,2016A000011124,Dealer margin,Medical use,Dollars,81,millions,6,0
1965,Canada,2016A000011124,Dealer margin,Non-medical use,Dollars,81,millions,6,91
1965,Canada,2016A000011124,Total use,Medical use,Dollars,81,millions,6,0
1965,Canada,2016A000011124,Total use,Non-medical use,Dollars,81,millions,6,372
1965,Canada,2016A000011124,Household final consumption expenditures,Medical use,Dollars,81,millions,6,0
1965,Canada,2016A000011124,Household final consumption expenditures,Non-medical use,Dollars,81,millions,6,370
1965,Canada,2016A000011124,Illegal sales abroad,Medical use,Dollars,81,millions,6,0
1965,Canada,2016A000011124,Illegal sales abroad,Non-medical use,Dollars,81,millions,6,2
1965,Canada,2016A000011124,Inventories,Medical use,Dollars,81,millions,6,0
1965,Canada,2016A000011124,Inventories,Non-medical use,Dollars,81,millions,6,0
1965,Canada,2016A000011124,Gross domestic product (GDP),Medical use,Dollars,81,millions,6,0
1965,Canada,2016A000011124,Gross domestic product (GDP),Non-medical use,Dollars,81,millions,6,183
1966,Canada,2016A000011124,Total supply,Medical use,Dollars,81,millions,6,0
1966,Canada,2016A000011124,Total supply,Non-medical use,Dollars,81,millions,6,455
1966,Canada,2016A000011124,Domestic production,Medical use,Dollars,81,millions,6,0
1966,Canada,2016A000011124,Domestic production,Non-medical use,Dollars,81,millions,6,199
1966,Canada,2016A000011124,Domestic market production,Medical use,Dollars,81,millions,6,0
1966,Canada,2016A000011124,Domestic market production,Non-medical use,Dollars,81,millions,6,194
1966,Canada,2016A000011124,Domestic own-use production,Medical use,Dollars,81,millions,6,0
