REF_DATE,GEO,DGUID,Level of education,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
2007/2008,Canada,2016A000011124,All levels combined,Constant dollars,Dollars,81,units ,0,100181
2007/2008,Canada,2016A000011124,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,Canada,2016A000011124,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,Canada,2016A000011124,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,58941
2007/2008,Canada,2016A000011124,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,58.8
2007/2008,Canada,2016A000011124,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,Canada,2016A000011124,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,41240
2007/2008,Canada,2016A000011124,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,41.2
2007/2008,Canada,2016A000011124,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,Canada,2016A000011124,College,Constant dollars,Dollars,81,units ,0,15269
2007/2008,Canada,2016A000011124,College,Percentage distribution of  expenditures,Percent,239,units ,0,15.2
2007/2008,Canada,2016A000011124,College,Index of change,Index,160,units ,0,100
2007/2008,Canada,2016A000011124,University,Constant dollars,Dollars,81,units ,0,25972
2007/2008,Canada,2016A000011124,University,Percentage distribution of  expenditures,Percent,239,units ,0,25.9
2007/2008,Canada,2016A000011124,University,Index of change,Index,160,units ,0,100
2007/2008,Newfoundland and Labrador,2016A000210,All levels combined,Constant dollars,Dollars,81,units ,0,1587
2007/2008,Newfoundland and Labrador,2016A000210,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,Newfoundland and Labrador,2016A000210,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,Newfoundland and Labrador,2016A000210,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,884
2007/2008,Newfoundland and Labrador,2016A000210,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,55.7
2007/2008,Newfoundland and Labrador,2016A000210,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,Newfoundland and Labrador,2016A000210,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,703
2007/2008,Newfoundland and Labrador,2016A000210,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,44.3
2007/2008,Newfoundland and Labrador,2016A000210,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,Newfoundland and Labrador,2016A000210,College,Constant dollars,Dollars,81,units ,0,234
2007/2008,Newfoundland and Labrador,2016A000210,College,Percentage distribution of  expenditures,Percent,239,units ,0,14.8
2007/2008,Newfoundland and Labrador,2016A000210,College,Index of change,Index,160,units ,0,100
2007/2008,Newfoundland and Labrador,2016A000210,University,Constant dollars,Dollars,81,units ,0,469
2007/2008,Newfoundland and Labrador,2016A000210,University,Percentage distribution of  expenditures,Percent,239,units ,0,29.6
2007/2008,Newfoundland and Labrador,2016A000210,University,Index of change,Index,160,units ,0,100
2007/2008,Prince Edward Island,2016A000211,All levels combined,Constant dollars,Dollars,81,units ,0,400
2007/2008,Prince Edward Island,2016A000211,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,Prince Edward Island,2016A000211,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,Prince Edward Island,2016A000211,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,206
2007/2008,Prince Edward Island,2016A000211,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,51.5
2007/2008,Prince Edward Island,2016A000211,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,Prince Edward Island,2016A000211,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,193
2007/2008,Prince Edward Island,2016A000211,Post-secondary levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,48.2
2007/2008,Prince Edward Island,2016A000211,Post-secondary levels combined,Index of change,Index,160,units ,0,100
2007/2008,Prince Edward Island,2016A000211,College,Constant dollars,Dollars,81,units ,0,74
2007/2008,Prince Edward Island,2016A000211,College,Percentage distribution of  expenditures,Percent,239,units ,0,18.6
2007/2008,Prince Edward Island,2016A000211,College,Index of change,Index,160,units ,0,100
2007/2008,Prince Edward Island,2016A000211,University,Constant dollars,Dollars,81,units ,0,118
2007/2008,Prince Edward Island,2016A000211,University,Percentage distribution of  expenditures,Percent,239,units ,0,29.6
2007/2008,Prince Edward Island,2016A000211,University,Index of change,Index,160,units ,0,100
2007/2008,Nova Scotia,2016A000212,All levels combined,Constant dollars,Dollars,81,units ,0,2678
2007/2008,Nova Scotia,2016A000212,All levels combined,Percentage distribution of  expenditures,Percent,239,units ,0,100
2007/2008,Nova Scotia,2016A000212,All levels combined,Index of change,Index,160,units ,0,100
2007/2008,Nova Scotia,2016A000212,"Pre-elementary, elementary-secondary",Constant dollars,Dollars,81,units ,0,1416
2007/2008,Nova Scotia,2016A000212,"Pre-elementary, elementary-secondary",Percentage distribution of  expenditures,Percent,239,units ,0,52.9
2007/2008,Nova Scotia,2016A000212,"Pre-elementary, elementary-secondary",Index of change,Index,160,units ,0,100
2007/2008,Nova Scotia,2016A000212,Post-secondary levels combined,Constant dollars,Dollars,81,units ,0,1262
