REF_DATE,GEO,DGUID,Companies,Length of track,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VALUE
1986,Canada,2016A000011124,Total companies,Total track operated,Kilometres,196,units ,0,91935
1986,Canada,2016A000011124,Total companies,Total line owned,Kilometres,196,units ,0,75720
1986,Canada,2016A000011124,Total companies,"Line owned, first main track",Kilometres,196,units ,0,32446
1986,Canada,2016A000011124,Total companies,"Line owned, second and other main track",Kilometres,196,units ,0,24657
1986,Canada,2016A000011124,Total companies,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,18617
1986,Canada,2016A000011124,Total companies,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,16215
1986,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,4889
1986,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,5206
1986,Canada,2016A000011124,Total companies,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,6120
1986,Canada,2016A000011124,Canadian National,Total track operated,Kilometres,196,units ,0,50708
1986,Canada,2016A000011124,Canadian National,Total line owned,Kilometres,196,units ,0,46293
1986,Canada,2016A000011124,Canadian National,"Line owned, first main track",Kilometres,196,units ,0,19285
1986,Canada,2016A000011124,Canadian National,"Line owned, second and other main track",Kilometres,196,units ,0,15493
1986,Canada,2016A000011124,Canadian National,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,11515
1986,Canada,2016A000011124,Canadian National,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,4415
1986,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,592
1986,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,687
1986,Canada,2016A000011124,Canadian National,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,3137
1986,Canada,2016A000011124,Canadian Pacific,Total track operated,Kilometres,196,units ,0,33458
1986,Canada,2016A000011124,Canadian Pacific,Total line owned,Kilometres,196,units ,0,23678
1986,Canada,2016A000011124,Canadian Pacific,"Line owned, first main track",Kilometres,196,units ,0,9041
1986,Canada,2016A000011124,Canadian Pacific,"Line owned, second and other main track",Kilometres,196,units ,0,8900
1986,Canada,2016A000011124,Canadian Pacific,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,5737
1986,Canada,2016A000011124,Canadian Pacific,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,9780
1986,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,3123
1986,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,4207
1986,Canada,2016A000011124,Canadian Pacific,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,2450
1986,Canada,2016A000011124,VIA Rail,Total track operated,Kilometres,196,units ,0,0
1986,Canada,2016A000011124,VIA Rail,Total line owned,Kilometres,196,units ,0,0
1986,Canada,2016A000011124,VIA Rail,"Line owned, first main track",Kilometres,196,units ,0,0
1986,Canada,2016A000011124,VIA Rail,"Line owned, second and other main track",Kilometres,196,units ,0,0
1986,Canada,2016A000011124,VIA Rail,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,0
1986,Canada,2016A000011124,VIA Rail,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,0
1986,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,0
1986,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,0
1986,Canada,2016A000011124,VIA Rail,"Line operated under lease, contract, trackage rights or jointly owned, industrial, yard and sidings",Kilometres,196,units ,0,0
1986,Canada,2016A000011124,Regional railways,Total track operated,Kilometres,196,units ,0,7769
1986,Canada,2016A000011124,Regional railways,Total line owned,Kilometres,196,units ,0,5749
1986,Canada,2016A000011124,Regional railways,"Line owned, first main track",Kilometres,196,units ,0,4120
1986,Canada,2016A000011124,Regional railways,"Line owned, second and other main track",Kilometres,196,units ,0,264
1986,Canada,2016A000011124,Regional railways,"Line owned, industrial, yard and sidings",Kilometres,196,units ,0,1365
1986,Canada,2016A000011124,Regional railways,"Total line operated under lease, contract, trackage rights or jointly owned",Kilometres,196,units ,0,2020
1986,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, first main track",Kilometres,196,units ,0,1175
1986,Canada,2016A000011124,Regional railways,"Line operated under lease, contract, trackage rights or jointly owned, second and other main track",Kilometres,196,units ,0,312
